	company.value	companyLabel.xml:lang	companyLabel.value	numEmployees.value	point.value
11760	http://www.wikidata.org/entity/Q41567768	en	Saint-Gobain Adfors CZ	2181	2020-01-01T00:00:00Z
11761	http://www.wikidata.org/entity/Q41568226	en	UNEX	867	2022-08-31T00:00:00Z
11762	http://www.wikidata.org/entity/Q43896251	en	Roche	215	2022-01-01T00:00:00Z
11763	http://www.wikidata.org/entity/Q43896251	en	Roche	222	2021-01-01T00:00:00Z
11764	http://www.wikidata.org/entity/Q41567943	en	SYNER Group	490	2023-01-01T00:00:00Z
11765	http://www.wikidata.org/entity/Q20056888	en	AB - Credit	10	2017-01-01T00:00:00Z
11766	http://www.wikidata.org/entity/Q20056888	en	AB - Credit	11	2018-01-01T00:00:00Z
11767	http://www.wikidata.org/entity/Q23072012	en	EP Industries	5935	2018-01-01T00:00:00Z
11768	http://www.wikidata.org/entity/Q23072012	en	EP Industries	5250	2016-01-01T00:00:00Z
11769	http://www.wikidata.org/entity/Q23072012	en	EP Industries	5397	2015-01-01T00:00:00Z
11770	http://www.wikidata.org/entity/Q23072012	en	EP Industries	5317	2017-01-01T00:00:00Z
11771	http://www.wikidata.org/entity/Q54942396	en	PF plasty CZ	350	2019-01-01T00:00:00Z
11772	http://www.wikidata.org/entity/Q20058079	en	SPGroup	992	2020-12-31T00:00:00Z
11773	http://www.wikidata.org/entity/Q20058079	en	SPGroup	1062	2019-12-31T00:00:00Z
11774	http://www.wikidata.org/entity/Q16323595	en	Fynske Bank	190	2022-01-01T00:00:00Z
11775	http://www.wikidata.org/entity/Q16324787	en	Totalkredit	249	2022-01-01T00:00:00Z
11776	http://www.wikidata.org/entity/Q54942081	en	nanosun	15	2018-01-01T00:00:00Z
11777	http://www.wikidata.org/entity/Q54942081	en	nanosun	24	2021-01-01T00:00:00Z
11778	http://www.wikidata.org/entity/Q54941175	en	Tivall CZ	538	2022-01-01T00:00:00Z
11779	http://www.wikidata.org/entity/Q54941175	en	Tivall CZ	584	2021-01-01T00:00:00Z
11780	http://www.wikidata.org/entity/Q23384493	en	Delivery Hero	24617	2019-01-01T00:00:00Z
11781	http://www.wikidata.org/entity/Q23384493	en	Delivery Hero	19834	2018-12-31T00:00:00Z
11782	http://www.wikidata.org/entity/Q23384493	en	Delivery Hero	23436	2019-12-31T00:00:00Z
11783	http://www.wikidata.org/entity/Q23384493	en	Delivery Hero	29552	2020-12-31T00:00:00Z
11784	http://www.wikidata.org/entity/Q23384493	en	Delivery Hero	45445	2021-12-31T00:00:00Z
11785	http://www.wikidata.org/entity/Q23384493	en	Delivery Hero	51118	2022-12-31T00:00:00Z
11786	http://www.wikidata.org/entity/Q16361525	en	Latvian Ornithological Society	22	2023-01-01T00:00:00Z
11787	http://www.wikidata.org/entity/Q16557629	en	Fratelli Beretta	1325	2019-01-01T00:00:00Z
11788	http://www.wikidata.org/entity/Q16557629	en	Fratelli Beretta	2338	2017-01-01T00:00:00Z
11789	http://www.wikidata.org/entity/Q23072012	en	EP Industries	7143	2022-01-01T00:00:00Z
11790	http://www.wikidata.org/entity/Q23072012	en	EP Industries	7081	2021-01-01T00:00:00Z
11791	http://www.wikidata.org/entity/Q23072012	en	EP Industries	7377	2020-01-01T00:00:00Z
11792	http://www.wikidata.org/entity/Q23072012	en	EP Industries	7339	2019-01-01T00:00:00Z
11793	http://www.wikidata.org/entity/Q23384493	en	Delivery Hero	47981	2023-12-31T00:00:00Z
11794	http://www.wikidata.org/entity/Q23384493	en	Delivery Hero	6848	2016-12-31T00:00:00Z
11795	http://www.wikidata.org/entity/Q23384493	en	Delivery Hero	547	2013-12-31T00:00:00Z
11796	http://www.wikidata.org/entity/Q23384493	en	Delivery Hero	1018	2014-12-31T00:00:00Z
11797	http://www.wikidata.org/entity/Q23384493	en	Delivery Hero	2843	2015-12-31T00:00:00Z
11798	http://www.wikidata.org/entity/Q23384493	en	Delivery Hero	12882	2017-12-31T00:00:00Z
11799	http://www.wikidata.org/entity/Q23014836	en	HelloFresh	19595	2022-12-31T00:00:00Z
11800	http://www.wikidata.org/entity/Q23014836	en	HelloFresh	4477	2019-12-31T00:00:00Z
