	ceoname.value	company.value	companyLabel.xml:lang	companyLabel.value	ceonameLabel.xml:lang	ceonameLabel.value	starttime.value
2158	http://www.wikidata.org/entity/Q53373428	http://www.wikidata.org/entity/Q53361032	en	Infrequent Group IVS	en	Jonas Hansen	2017-01-01T00:00:00Z
2159	http://www.wikidata.org/entity/Q53373428	http://www.wikidata.org/entity/Q53361032	en	Infrequent Group IVS	en	Jonas Hansen	2017-01-01T00:00:00Z
2160	http://www.wikidata.org/entity/Q30100510	http://www.wikidata.org/entity/Q15238661	en	CNH Industrial	en	Derek Neilson	2018-04-27T00:00:00Z
2161	http://www.wikidata.org/entity/Q30100510	http://www.wikidata.org/entity/Q15238661	en	CNH Industrial	en	Derek Neilson	2018-04-27T00:00:00Z
2162	http://www.wikidata.org/entity/Q29384457	http://www.wikidata.org/entity/Q933787	en	Škoda Transportation	en	Tomáš Ignačák	2016-01-01T00:00:00Z
2163	http://www.wikidata.org/entity/Q29384457	http://www.wikidata.org/entity/Q933787	en	Škoda Transportation	en	Tomáš Ignačák	2016-01-01T00:00:00Z
2164	http://www.wikidata.org/entity/Q29973720	http://www.wikidata.org/entity/Q1641437	en	Ralph Lauren	en	Patrice Louvet	2017-05-17T00:00:00Z
2165	http://www.wikidata.org/entity/Q29973720	http://www.wikidata.org/entity/Q1641437	en	Ralph Lauren	en	Patrice Louvet	2017-05-17T00:00:00Z
2166	http://www.wikidata.org/entity/Q30103078	http://www.wikidata.org/entity/Q43028378	en	Carl Zeiss NTS	en	Dirk Stenkamp	2008-11-25T00:00:00Z
2167	http://www.wikidata.org/entity/Q30103078	http://www.wikidata.org/entity/Q43028378	en	Carl Zeiss NTS	en	Dirk Stenkamp	2008-11-25T00:00:00Z
2168	http://www.wikidata.org/entity/Q29446394	http://www.wikidata.org/entity/Q6954702	en	NMC Health	en	Prasanth Manghat	2017-03-08T00:00:00Z
2169	http://www.wikidata.org/entity/Q29446394	http://www.wikidata.org/entity/Q6954702	en	NMC Health	en	Prasanth Manghat	2017-03-08T00:00:00Z
2170	http://www.wikidata.org/entity/Q29865118	http://www.wikidata.org/entity/Q294508	en	ALROSA	en	Sergey Ivanov	2017-01-01T00:00:00Z
