	subsidiaryname.value	company.value	companyLabel.xml:lang	companyLabel.value	subsidiarynameLabel.xml:lang	subsidiarynameLabel.value	starttime.value
136	http://www.wikidata.org/entity/Q964158	http://www.wikidata.org/entity/Q12607409	en	Young An Hat Company	en	Clark Material Handling Company	2003-01-01T00:00:00Z
137	http://www.wikidata.org/entity/Q901268	http://www.wikidata.org/entity/Q175391	en	Fender Musical Instruments Corporation	en	Squier	1965-01-01T00:00:00Z
138	http://www.wikidata.org/entity/Q478354	http://www.wikidata.org/entity/Q311394	en	Infineon Technologies	en	Cypress Semiconductor	2020-04-01T00:00:00Z
139	http://www.wikidata.org/entity/Q140258	http://www.wikidata.org/entity/Q95	en	Google	en	Zagat	2011-01-01T00:00:00Z
140	http://www.wikidata.org/entity/Q478685	http://www.wikidata.org/entity/Q912476	en	Quebecor	en	Distribution Select	1995-01-01T00:00:00Z
141	http://www.wikidata.org/entity/Q478685	http://www.wikidata.org/entity/Q912476	en	Quebecor	en	Distribution Select	1995-01-01T00:00:00Z
142	http://www.wikidata.org/entity/Q806252	http://www.wikidata.org/entity/Q507269	en	Bandai	en	Bandai Visual	1983-01-01T00:00:00Z
143	http://www.wikidata.org/entity/Q806085	http://www.wikidata.org/entity/Q420822	en	Gap Inc.	en	Banana Republic	1983-01-01T00:00:00Z
144	http://www.wikidata.org/entity/Q806085	http://www.wikidata.org/entity/Q420822	en	Gap Inc.	en	Banana Republic	1983-01-01T00:00:00Z
145	http://www.wikidata.org/entity/Q814570	http://www.wikidata.org/entity/Q542511	en	Hoechst	en	Behringwerke	1952-01-01T00:00:00Z
146	http://www.wikidata.org/entity/Q688141	http://www.wikidata.org/entity/Q99371808	en	General Dynamics European Land Systems	en	Mowag	2003-01-01T00:00:00Z
147	http://www.wikidata.org/entity/Q912872	http://www.wikidata.org/entity/Q24060697	en	Transalpina di Energia	en	Edison	2016-05-14T00:00:00Z
148	http://www.wikidata.org/entity/Q912872	http://www.wikidata.org/entity/Q24060697	en	Transalpina di Energia	en	Edison	2016-05-14T00:00:00Z
149	http://www.wikidata.org/entity/Q629269	http://www.wikidata.org/entity/Q5479360	en	Macy's, Inc.	en	Macy's	2007-05-31T00:00:00Z
150	http://www.wikidata.org/entity/Q629269	http://www.wikidata.org/entity/Q62269698	en	Federated Department Stores	en	Macy's	1994-01-01T00:00:00Z
151	http://www.wikidata.org/entity/Q837844	http://www.wikidata.org/entity/Q99371808	en	General Dynamics European Land Systems	en	Santa Bárbara Sistemas	2001-01-01T00:00:00Z
152	http://www.wikidata.org/entity/Q726572	http://www.wikidata.org/entity/Q3833050	en	OpNet	en	Tessellis	2022-01-01T00:00:00Z
153	http://www.wikidata.org/entity/Q726572	http://www.wikidata.org/entity/Q3833050	en	OpNet	en	Tessellis	2022-01-01T00:00:00Z
154	http://www.wikidata.org/entity/Q912872	http://www.wikidata.org/entity/Q1751851	en	Montedison	en	Edison	1966-01-01T00:00:00Z
155	http://www.wikidata.org/entity/Q912872	http://www.wikidata.org/entity/Q1751851	en	Montedison	en	Edison	1966-01-01T00:00:00Z
156	http://www.wikidata.org/entity/Q498944	http://www.wikidata.org/entity/Q173395	en	Cisco	en	Webex by Cisco	2007-01-01T00:00:00Z
157	http://www.wikidata.org/entity/Q498944	http://www.wikidata.org/entity/Q173395	en	Cisco	en	Webex by Cisco	2007-01-01T00:00:00Z
158	http://www.wikidata.org/entity/Q681316	http://www.wikidata.org/entity/Q809749	en	Basalt-Actien-Gesellschaft	en	Strabag	1923-01-01T00:00:00Z
159	http://www.wikidata.org/entity/Q681316	http://www.wikidata.org/entity/Q809749	en	Basalt-Actien-Gesellschaft	en	Strabag	1923-01-01T00:00:00Z
160	http://www.wikidata.org/entity/Q159846	http://www.wikidata.org/entity/Q3088127	en	Viacom	en	Paramount Pictures	1994-07-01T00:00:00Z
161	http://www.wikidata.org/entity/Q590940	http://www.wikidata.org/entity/Q2357618	en	Ströer Media	en	T-Online	2015-08-01T00:00:00Z
162	http://www.wikidata.org/entity/Q591866	http://www.wikidata.org/entity/Q117188724	en	National City Bank of New York	en	Citibank Argentina	1914-01-01T00:00:00Z
163	http://www.wikidata.org/entity/Q499342	http://www.wikidata.org/entity/Q127041613	en	e.Biscom	en	FASTWEB	2002-01-01T00:00:00Z
164	http://www.wikidata.org/entity/Q499342	http://www.wikidata.org/entity/Q127041613	en	e.Biscom	en	FASTWEB	2002-01-01T00:00:00Z
165	http://www.wikidata.org/entity/Q499342	http://www.wikidata.org/entity/Q127041613	en	e.Biscom	en	FASTWEB	1999-01-01T00:00:00Z
166	http://www.wikidata.org/entity/Q499342	http://www.wikidata.org/entity/Q127041613	en	e.Biscom	en	FASTWEB	1999-01-01T00:00:00Z
167	http://www.wikidata.org/entity/Q935959	http://www.wikidata.org/entity/Q76039	en	Hudson's Bay Company	en	Simpsons	1978-01-01T00:00:00Z
168	http://www.wikidata.org/entity/Q935959	http://www.wikidata.org/entity/Q76039	en	Hudson's Bay Company	en	Simpsons	1978-01-01T00:00:00Z
169	http://www.wikidata.org/entity/Q642959	http://www.wikidata.org/entity/Q334800	en	PepsiCo	en	Lebedyansky	2008-01-01T00:00:00Z
170	http://www.wikidata.org/entity/Q933787	http://www.wikidata.org/entity/Q1979720	en	PPF Group	en	Škoda Transportation	2018-01-01T00:00:00Z
171	http://www.wikidata.org/entity/Q933787	http://www.wikidata.org/entity/Q1979720	en	PPF Group	en	Škoda Transportation	2018-01-01T00:00:00Z
172	http://www.wikidata.org/entity/Q644144	http://www.wikidata.org/entity/Q28401467	en	VP Music Group, Inc.	en	Greensleeves Records	2008-01-01T00:00:00Z
173	http://www.wikidata.org/entity/Q745019	http://www.wikidata.org/entity/Q55568528	en	Colt CZ Group	en	Colt's Manufacturing Company	2021-05-24T00:00:00Z
174	http://www.wikidata.org/entity/Q745019	http://www.wikidata.org/entity/Q55568528	en	Colt CZ Group	en	Colt's Manufacturing Company	2021-05-24T00:00:00Z
175	http://www.wikidata.org/entity/Q649053	http://www.wikidata.org/entity/Q542511	en	Hoechst	en	Ticona	1961-01-01T00:00:00Z
176	http://www.wikidata.org/entity/Q645345	http://www.wikidata.org/entity/Q2592867	en	Wolters Kluwer Deutschland	en	Carl Heymanns Verlag	2006-01-01T00:00:00Z
177	http://www.wikidata.org/entity/Q621606	http://www.wikidata.org/entity/Q116207427	en	Mythical Entertainment	en	Smosh	2019-01-01T00:00:00Z
178	http://www.wikidata.org/entity/Q815694	http://www.wikidata.org/entity/Q2843047	en	AT&T Corporation	en	Bell Canada	1899-01-01T00:00:00Z
179	http://www.wikidata.org/entity/Q815694	http://www.wikidata.org/entity/Q2843047	en	AT&T Corporation	en	Bell Canada	1899-01-01T00:00:00Z
180	http://www.wikidata.org/entity/Q815694	http://www.wikidata.org/entity/Q4883277	en	Bell Telephone Company	en	Bell Canada	1880-01-01T00:00:00Z
181	http://www.wikidata.org/entity/Q979615	http://www.wikidata.org/entity/Q20051446	en	China Railway Engineering Corporation	en	China Railway Group Limited	2017-12-31T00:00:00Z
182	http://www.wikidata.org/entity/Q908172	http://www.wikidata.org/entity/Q642189	en	Medtronic plc	en	Covidien	2014-06-01T00:00:00Z
183	http://www.wikidata.org/entity/Q908172	http://www.wikidata.org/entity/Q642189	en	Medtronic plc	en	Covidien	2014-06-01T00:00:00Z
184	http://www.wikidata.org/entity/Q903372	http://www.wikidata.org/entity/Q247489	en	Merck & Co.	en	Organon & Co.	2009-11-01T00:00:00Z
185	http://www.wikidata.org/entity/Q903372	http://www.wikidata.org/entity/Q247489	en	Merck & Co.	en	Organon & Co.	2009-11-01T00:00:00Z
186	http://www.wikidata.org/entity/Q979615	http://www.wikidata.org/entity/Q20051446	en	China Railway Engineering Corporation	en	China Railway Group Limited	2007-01-01T00:00:00Z
187	http://www.wikidata.org/entity/Q968850	http://www.wikidata.org/entity/Q110049596	en	United Media	en	Nova TV	2018-01-01T00:00:00Z
188	http://www.wikidata.org/entity/Q911595	http://www.wikidata.org/entity/Q58024	en	eBay	en	StumbleUpon	2007-05-01T00:00:00Z
189	http://www.wikidata.org/entity/Q911595	http://www.wikidata.org/entity/Q58024	en	eBay	en	StumbleUpon	2007-05-01T00:00:00Z
190	http://www.wikidata.org/entity/Q702385	http://www.wikidata.org/entity/Q1521910	en	Hallmark Cards	en	Revell	1994-01-01T00:00:00Z
191	http://www.wikidata.org/entity/Q843957	http://www.wikidata.org/entity/Q4903531	en	Bic Camera	en	Nippon BS Broadcasting	2022-08-31T00:00:00Z
192	http://www.wikidata.org/entity/Q843957	http://www.wikidata.org/entity/Q4903531	en	Bic Camera	en	Nippon BS Broadcasting	2022-08-31T00:00:00Z
193	http://www.wikidata.org/entity/Q738412	http://www.wikidata.org/entity/Q397347	en	Agrokor	en	Mercator	2014-06-27T00:00:00Z
194	http://www.wikidata.org/entity/Q738412	http://www.wikidata.org/entity/Q397347	en	Agrokor	en	Mercator	2014-06-27T00:00:00Z
195	http://www.wikidata.org/entity/Q842170	http://www.wikidata.org/entity/Q624798	en	Canadian National Railway	en	Wisconsin Central Ltd.	2001-01-01T00:00:00Z
196	http://www.wikidata.org/entity/Q843967	http://www.wikidata.org/entity/Q5895075	en	HKT	en	CSL Mobile Limited	2014-01-01T00:00:00Z
197	http://www.wikidata.org/entity/Q640491	http://www.wikidata.org/entity/Q110049596	en	United Media	en	Sport Klub	2018-01-01T00:00:00Z
198	http://www.wikidata.org/entity/Q740115	http://www.wikidata.org/entity/Q152695	en	Amer Sports	en	Suunto	1999-01-01T00:00:00Z
199	http://www.wikidata.org/entity/Q740115	http://www.wikidata.org/entity/Q152695	en	Amer Sports	en	Suunto	1999-01-01T00:00:00Z
200	http://www.wikidata.org/entity/Q1006504	http://www.wikidata.org/entity/Q215639	en	Opera Software	en	Fastmail	2010-04-30T00:00:00Z
201	http://www.wikidata.org/entity/Q925648	http://www.wikidata.org/entity/Q24885067	en	Suning Appliance Group	en	Jiangsu F.C.	2016-01-01T00:00:00Z
202	http://www.wikidata.org/entity/Q995970	http://www.wikidata.org/entity/Q3952867	en	China National Heavy Duty Truck Group	en	Sinotruk (Hong Kong) Limited	2007-01-31T00:00:00Z
203	http://www.wikidata.org/entity/Q921716	http://www.wikidata.org/entity/Q2553238	en	Wind Telecom	en	Global Telecom Holding	2005-01-01T00:00:00Z
