	acronymId.type	acronymId.value	starttime.datatype	starttime.type	starttime.value	company.type	company.value	companyLabel.xml:lang	companyLabel.type	companyLabel.value	acronym.xml:lang	acronym.type	acronym.value	endtime.datatype	endtime.type	endtime.value
48	uri	http://www.wikidata.org/entity/statement/Q843339-ceb62cd8-4b51-3419-761e-e4f9c60994b2	http://www.w3.org/2001/XMLSchema#dateTime	literal	1980-10-23T00:00:00Z	uri	http://www.wikidata.org/entity/Q843339	en	literal	Television Niigata Network	en	literal	TNN	http://www.w3.org/2001/XMLSchema#dateTime	literal	1997-12-31T00:00:00Z
49	uri	http://www.wikidata.org/entity/statement/Q843457-c78d9a87-43d6-192f-79c0-07d25498cda1	http://www.w3.org/2001/XMLSchema#dateTime	literal	1983-01-01T00:00:00Z	uri	http://www.wikidata.org/entity/Q843457	en	literal	Niigata Television Network 21	en	literal	NT21	http://www.w3.org/2001/XMLSchema#dateTime	literal	2006-01-01T00:00:00Z
50	uri	http://www.wikidata.org/entity/statement/Q843457-15bcac53-4c1f-736f-7445-b4f4eb655385	http://www.w3.org/2001/XMLSchema#dateTime	literal	2006-01-01T00:00:00Z	uri	http://www.wikidata.org/entity/Q843457	en	literal	Niigata Television Network 21	en	literal	UX			
51	uri	http://www.wikidata.org/entity/statement/Q3082642-b758aec9-4c79-5161-ab63-4542d45c5fe2	http://www.w3.org/2001/XMLSchema#dateTime	literal	1985-01-01T00:00:00Z	uri	http://www.wikidata.org/entity/Q3082642	en	literal	Miyagi Television Broadcasting	en	literal	MMT			
52	uri	http://www.wikidata.org/entity/statement/Q3082642-33efc4b9-48fc-433f-1e63-bd52bfc1f156	http://www.w3.org/2001/XMLSchema#dateTime	literal	1975-01-01T00:00:00Z	uri	http://www.wikidata.org/entity/Q3082642	en	literal	Miyagi Television Broadcasting	en	literal	mm34	http://www.w3.org/2001/XMLSchema#dateTime	literal	1985-01-01T00:00:00Z
53	uri	http://www.wikidata.org/entity/statement/Q3082642-613bdfb0-41cd-049d-43fe-0420df86811f	http://www.w3.org/2001/XMLSchema#dateTime	literal	1970-01-01T00:00:00Z	uri	http://www.wikidata.org/entity/Q3082642	en	literal	Miyagi Television Broadcasting	en	literal	MTB	http://www.w3.org/2001/XMLSchema#dateTime	literal	1975-01-01T00:00:00Z
54	uri	http://www.wikidata.org/entity/statement/Q1496677-2b85328b-4bdf-ab90-dee2-f2b549c9634a	http://www.w3.org/2001/XMLSchema#dateTime	literal	2022-06-20T00:00:00Z	uri	http://www.wikidata.org/entity/Q1496677	en	literal	Securing Energy for Europe	de	literal	SEFE			
55	uri	http://www.wikidata.org/entity/statement/Q13033027-0e540573-44e5-6a28-5278-4ec1e7e50970	http://www.w3.org/2001/XMLSchema#dateTime	literal	2016-06-08T00:00:00Z	uri	http://www.wikidata.org/entity/Q13033027	en	literal	Reshenie Bank	ru	literal	ЗАО Банк Решение			
56	uri	http://www.wikidata.org/entity/statement/Q13033027-77f46187-4ece-735f-0cfe-cfb6116cd557	http://www.w3.org/2001/XMLSchema#dateTime	literal	2016-06-08T00:00:00Z	uri	http://www.wikidata.org/entity/Q13033027	en	literal	Reshenie Bank	en	literal	R-Bank JSC			
57	uri	http://www.wikidata.org/entity/statement/Q13033027-df963b65-4e46-7de7-c883-9853343909a1	http://www.w3.org/2001/XMLSchema#dateTime	literal	2016-06-08T00:00:00Z	uri	http://www.wikidata.org/entity/Q13033027	en	literal	Reshenie Bank	be	literal	ЗАТ Банк Рашэнне			
58	uri	http://www.wikidata.org/entity/statement/Q18455539-ffea8c26-4023-d160-72b6-f4bba317299d	http://www.w3.org/2001/XMLSchema#dateTime	literal	2021-03-01T00:00:00Z	uri	http://www.wikidata.org/entity/Q18455539	en	literal	DNV	en	literal	DNV			
59	uri	http://www.wikidata.org/entity/statement/Q78899588-b926813d-4e76-c613-1cad-5742cb7aefa7	http://www.w3.org/2001/XMLSchema#dateTime	literal	2022-01-01T00:00:00Z	uri	http://www.wikidata.org/entity/Q78899588	en	literal	Metallbau Windeck GmbH	de	literal	WIN			
60	uri	http://www.wikidata.org/entity/statement/Q78899588-b926813d-4e76-c613-1cad-5742cb7aefa7	http://www.w3.org/2001/XMLSchema#dateTime	literal	2022-01-01T00:00:00Z	uri	http://www.wikidata.org/entity/Q78899588	en	literal	Metallbau Windeck GmbH	de	literal	WIN			
61	uri	http://www.wikidata.org/entity/statement/Q98370803-799CD5A7-8541-4033-96C3-4CCBD04C79A7	http://www.w3.org/2001/XMLSchema#dateTime	literal	2021-01-01T00:00:00Z	uri	http://www.wikidata.org/entity/Q98370803	en	literal	Langjahr Film GmbH	de	literal	lfg			
62	uri	http://www.wikidata.org/entity/statement/Q667547-80d460c2-4474-d5d8-15b0-8e86e7cb5fc0	http://www.w3.org/2001/XMLSchema#dateTime	literal	1990-01-01T00:00:00Z	uri	http://www.wikidata.org/entity/Q667547	en	literal	Steyr Tractor	de	literal	SLT	http://www.w3.org/2001/XMLSchema#dateTime	literal	1996-01-01T00:00:00Z
63	uri	http://www.wikidata.org/entity/statement/Q688243-792570A2-2374-4A5E-AB8E-AE85E5DF1764	http://www.w3.org/2001/XMLSchema#dateTime	literal	2021-01-01T00:00:00Z	uri	http://www.wikidata.org/entity/Q688243	en	literal	Radiotelevisiun Svizra Rumantscha	de	literal	rtr			
64	uri	http://www.wikidata.org/entity/statement/Q1685091-fa777bd7-4067-90bd-b496-521c7c02ed51	http://www.w3.org/2001/XMLSchema#dateTime	literal	2008-01-01T00:00:00Z	uri	http://www.wikidata.org/entity/Q1685091	en	literal	Strabag Property and Facility Services	de	literal	STRABAG PFS			
65	uri	http://www.wikidata.org/entity/statement/Q1967957-02c44f13-49ed-f65a-080a-e25b72093705		uri	http://www.wikidata.org/.well-known/genid/d915717e2c9de38253cdd0e0f969168a	uri	http://www.wikidata.org/entity/Q1967957	en	literal	TGC-1	ru	literal	ОАО «ТГК-1»	http://www.w3.org/2001/XMLSchema#dateTime	literal	2016-01-01T00:00:00Z
66	uri	http://www.wikidata.org/entity/statement/Q1967957-02c44f13-49ed-f65a-080a-e25b72093705		uri	http://www.wikidata.org/.well-known/genid/d915717e2c9de38253cdd0e0f969168a	uri	http://www.wikidata.org/entity/Q1967957	en	literal	TGC-1	ru	literal	ОАО «ТГК-1»	http://www.w3.org/2001/XMLSchema#dateTime	literal	2016-01-01T00:00:00Z
67	uri	http://www.wikidata.org/entity/statement/Q1967957-f787a846-48a5-dc40-bd03-59ebf7f3d8fe	http://www.w3.org/2001/XMLSchema#dateTime	literal	2016-01-01T00:00:00Z	uri	http://www.wikidata.org/entity/Q1967957	en	literal	TGC-1	ru	literal	ПАО «ТГК-1»			
68	uri	http://www.wikidata.org/entity/statement/Q1967957-f787a846-48a5-dc40-bd03-59ebf7f3d8fe	http://www.w3.org/2001/XMLSchema#dateTime	literal	2016-01-01T00:00:00Z	uri	http://www.wikidata.org/entity/Q1967957	en	literal	TGC-1	ru	literal	ПАО «ТГК-1»			
69	uri	http://www.wikidata.org/entity/statement/Q2562433-019fd70c-4d1b-6645-52b0-3faf0844f9ef	http://www.w3.org/2001/XMLSchema#dateTime	literal	1961-01-01T00:00:00Z	uri	http://www.wikidata.org/entity/Q2562433	en	literal	Volgograd Tractor Factory	ru	literal	Волгоградский тракторный завод			
70	uri	http://www.wikidata.org/entity/statement/Q2562433-06d28df9-4842-28fb-e7e7-2d7777e163b0	http://www.w3.org/2001/XMLSchema#dateTime	literal	1930-01-01T00:00:00Z	uri	http://www.wikidata.org/entity/Q2562433	en	literal	Volgograd Tractor Factory	ru	literal	Сталинградский тракторный завод	http://www.w3.org/2001/XMLSchema#dateTime	literal	1961-01-01T00:00:00Z
71	uri	http://www.wikidata.org/entity/statement/Q113393740-d6144bb0-42e9-a0af-164e-e8b42eb76b3e				uri	http://www.wikidata.org/entity/Q113393740	en	literal	Family Auto Group LLC	en	literal	Family Mitsubishi			
72	uri	http://www.wikidata.org/entity/statement/Q115089650-ca552ae5-4977-197a-02fe-947c40930a70				uri	http://www.wikidata.org/entity/Q115089650	en	literal	Belarusian National Biotechnology Corporation	be-tarask	literal	БНБК			
73	uri	http://www.wikidata.org/entity/statement/Q115254767-3192f83c-43e4-48fd-ab94-3e46495aa7f3				uri	http://www.wikidata.org/entity/Q115254767	en	literal	The Armoloy Corporation	en	literal	Armoloy			
74	uri	http://www.wikidata.org/entity/statement/Q115689581-545b9d43-4965-5908-eff3-b452ba871ada				uri	http://www.wikidata.org/entity/Q115689581	en	literal	Kodeco Inc.	en	literal	Kodeco			
75	uri	http://www.wikidata.org/entity/statement/Q95-a827171f-4ac4-2e42-0a93-ef790986a58e				uri	http://www.wikidata.org/entity/Q95	en	literal	Google	en	literal	Google			
76	uri	http://www.wikidata.org/entity/statement/Q18543-7d5eaee4-46aa-a6bd-647c-0fc62f44bbe0				uri	http://www.wikidata.org/entity/Q18543	en	literal	Major League Soccer	en	literal	MLS			
77	uri	http://www.wikidata.org/entity/statement/Q41230-c0c490da-41ca-d568-f6ca-0f1295a57556				uri	http://www.wikidata.org/entity/Q41230	en	literal	Islamic Development Bank	fr	literal	BID			
78	uri	http://www.wikidata.org/entity/statement/Q54173-793e1193-4c8b-838f-1624-4804e5edfe91				uri	http://www.wikidata.org/entity/Q54173	en	literal	General Electric	en	literal	GE			
79	uri	http://www.wikidata.org/entity/statement/Q54173-793e1193-4c8b-838f-1624-4804e5edfe91				uri	http://www.wikidata.org/entity/Q54173	en	literal	General Electric	en	literal	GE			
80	uri	http://www.wikidata.org/entity/statement/Q114794-226b5ca8-4e3c-d837-1806-9e2595dfb630				uri	http://www.wikidata.org/entity/Q114794	en	literal	Radiotelevisione svizzera di lingua italiana	it	literal	RSI	http://www.w3.org/2001/XMLSchema#dateTime	literal	2009-02-28T00:00:00Z
81	uri	http://www.wikidata.org/entity/statement/Q114794-643dbfaa-490d-dc97-b13b-0cb163d1da46				uri	http://www.wikidata.org/entity/Q114794	en	literal	Radiotelevisione svizzera di lingua italiana	it	literal	RTSI	http://www.w3.org/2001/XMLSchema#dateTime	literal	2009-02-28T00:00:00Z
82	uri	http://www.wikidata.org/entity/statement/Q114794-A2D96480-0695-4656-A2AF-BA38362BDF7D				uri	http://www.wikidata.org/entity/Q114794	en	literal	Radiotelevisione svizzera di lingua italiana	de	literal	Radiotelevisionesvizzera	http://www.w3.org/2001/XMLSchema#dateTime	literal	2020-01-01T00:00:00Z
83	uri	http://www.wikidata.org/entity/statement/Q129110-6921728b-4d82-10cc-371d-aa3b6b89b892				uri	http://www.wikidata.org/entity/Q129110	en	literal	Telewizja Polska	pl	literal	TVP			
84	uri	http://www.wikidata.org/entity/statement/Q176587-b6f526c9-4993-9745-abf0-be0533c09561				uri	http://www.wikidata.org/entity/Q176587	en	literal	Check Point	en	literal	Check Point			
85	uri	http://www.wikidata.org/entity/statement/Q176587-b6f526c9-4993-9745-abf0-be0533c09561				uri	http://www.wikidata.org/entity/Q176587	en	literal	Check Point	en	literal	Check Point			
86	uri	http://www.wikidata.org/entity/statement/Q213710-b96b3cc5-4b1a-e4ee-c028-ab829f3f55af				uri	http://www.wikidata.org/entity/Q213710	en	literal	Apple Records	en	literal	Apple			
