	subsidiaryId.value	company.value	industry.value	starttime.value	industry2.value	companyLabel.xml:lang	companyLabel.value	subsidiaryIdLabel.xml:lang	subsidiaryIdLabel.value	industryLabel.xml:lang	industryLabel.value	industry2Label.xml:lang	industry2Label.value
323	http://www.wikidata.org/entity/Q174035	http://www.wikidata.org/entity/Q1516562	http://www.wikidata.org/entity/Q11033	2017-01-01T00:00:00Z	http://www.wikidata.org/entity/Q5367	en	Liberty Media	en	Formula One Group	en	mass media	en	motorsport
324	http://www.wikidata.org/entity/Q189557	http://www.wikidata.org/entity/Q2283	http://www.wikidata.org/entity/Q638608	2020-09-21T00:00:00Z	http://www.wikidata.org/entity/Q941594	en	Microsoft	en	ZeniMax Media	en	software development	en	video game industry
325	http://www.wikidata.org/entity/Q189557	http://www.wikidata.org/entity/Q2283	http://www.wikidata.org/entity/Q880371	2020-09-21T00:00:00Z	http://www.wikidata.org/entity/Q941594	en	Microsoft	en	ZeniMax Media	en	software industry	en	video game industry
326	http://www.wikidata.org/entity/Q189557	http://www.wikidata.org/entity/Q2283	http://www.wikidata.org/entity/Q1666934	2020-09-21T00:00:00Z	http://www.wikidata.org/entity/Q941594	en	Microsoft	en	ZeniMax Media	en	International Standard Industrial Classification	en	video game industry
327	http://www.wikidata.org/entity/Q189557	http://www.wikidata.org/entity/Q2283	http://www.wikidata.org/entity/Q21157865	2020-09-21T00:00:00Z	http://www.wikidata.org/entity/Q941594	en	Microsoft	en	ZeniMax Media	en	tech industry	en	video game industry
328	http://www.wikidata.org/entity/Q608845	http://www.wikidata.org/entity/Q3295867	http://www.wikidata.org/entity/Q540912	2018-08-31T00:00:00Z	http://www.wikidata.org/entity/Q3357577	en	The Coca-Cola Company	en	Costa Coffee	en	food industry	en	coffee bar
329	http://www.wikidata.org/entity/Q608845	http://www.wikidata.org/entity/Q3295867	http://www.wikidata.org/entity/Q1187656	2018-08-31T00:00:00Z	http://www.wikidata.org/entity/Q3357577	en	The Coca-Cola Company	en	Costa Coffee	en	fast-moving consumer goods	en	coffee bar
330	http://www.wikidata.org/entity/Q608845	http://www.wikidata.org/entity/Q3295867	http://www.wikidata.org/entity/Q4899370	2018-08-31T00:00:00Z	http://www.wikidata.org/entity/Q3357577	en	The Coca-Cola Company	en	Costa Coffee	en	beverage industry	en	coffee bar
331	http://www.wikidata.org/entity/Q465599	http://www.wikidata.org/entity/Q58044561	http://www.wikidata.org/entity/Q1326885	1899-01-01T00:00:00Z	http://www.wikidata.org/entity/Q249	en	The Marconi Wireless Telegraph & Signal Company	en	Marconi Wireless Telegraph Company of America	en	electrical industry	en	wireless communication
332	http://www.wikidata.org/entity/Q465599	http://www.wikidata.org/entity/Q58044561	http://www.wikidata.org/entity/Q1326885	1899-01-01T00:00:00Z	http://www.wikidata.org/entity/Q249	en	The Marconi Wireless Telegraph & Signal Company	en	Marconi Wireless Telegraph Company of America	en	electrical industry	en	wireless communication
